id,year,Forestry GDP（million yuan）,Forestry Industry Seniorization Index ,Forestry industry pollution control （million yuan）,Increase in ecological forests（hectarea）,"Forest stock（10,000 cubic meters）",Forestry industrial waste discharges（million yuan）,,,,,
24,2017,30100000,0.74 ,11861.43 ,678300,37164.01 ,28340.81 ,,,,,
25,2017,22207951,0.19 ,8084.66 ,387158,191327.60 ,26976.18 ,,,,,
26,2017,358893,0.13 ,19.00 ,82667,227843.47 ,207.03 ,,,,,
27,2017,13206108,0.13 ,10389.01 ,334786,46083.92 ,11224.09 ,,,,,
28,2017,4802713,0.10 ,4825.76 ,325431,24393.20 ,4501.02 ,,,,,
29,2017,675339,0.24 ,393.27 ,198809,4752.56 ,1032.77 ,,,,,
30,2017,1623706,0.17 ,4033.90 ,78238,796.85 ,1681.80 ,,,,,
31,2017,9802514,0.09 ,12140.59 ,282384,38038.81 ,9966.93 ,,,,,
1,2018,2610077,0.24 ,166.87 ,29979,2437.36 ,1152.12 ,,,,,
2,2018,336160,0.13 ,129.48 ,8648,460.27 ,164.98 ,,,,,
3,2018,14607173,0.17 ,40058.44 ,600956,13737.98 ,11627.73 ,,,,,
4,2018,5319197,0.11 ,40058.44 ,340148,12923.37 ,5356.86 ,,,,,
5,2018,4869345,0.32 ,9613.15 ,599979,152704.12 ,3727.87 ,,,,,
6,2018,10145402,0.16 ,2774.79 ,167978,29749.18 ,10643.90 ,,,,,
7,2018,11255288,0.15 ,2112.84 ,122657,101295.77 ,9457.57 ,,,,,
8,2018,12852222,0.37 ,5745.30 ,96639,184704.09 ,11413.59 ,,,,,
9,2018,620380,0.45 ,722.80 ,3183,449.59 ,1910.18 ,,,,,
10,2018,2922402,0.47 ,42898.21 ,43356,7044.48 ,31041.08 ,,,,,
11,2018,48934524,0.33 ,32465.04 ,63643,28114.67 ,35614.26 ,,,,,
12,2018,51672221,0.43 ,28823.38 ,138493,22186.55 ,35614.26 ,,,,,
13,2018,43452388,0.26 ,29575.82 ,193393,72937.63 ,43923.44 ,,,,,
14,2018,64505423,0.53 ,47725.22 ,308143,50665.83 ,46921.15 ,,,,,
15,2018,51120531,0.57 ,58160.63 ,147481,9161.49 ,45146.62 ,,,,,
16,2018,65877734,0.14 ,15092.33 ,173596,20719.12 ,18956.61 ,,,,,
17,2018,21439310,0.60 ,14298.89 ,330657,36507.91 ,29223.75 ,,,,,
18,2018,40957696,0.40 ,9735.52 ,584316,40715.73 ,42114.63 ,,,,,
19,2018,50297711,0.29 ,23660.89 ,270462,46755.09 ,76867.97 ,,,,,
20,2018,84159503,0.66 ,20164.40 ,247800,67752.45 ,70840.01 ,,,,,
21,2018,70426465,0.46 ,484.10 ,10496,15340.15 ,6027.91 ,,,,,
22,2018,6541382,0.62 ,3349.10 ,270003,20678.18 ,13836.46 ,,,,,
23,2018,13901849,0.58 ,15828.87 ,436816,186099.00 ,36520.73 ,,,,,
24,2018,39478893,0.65 ,15026.08 ,346676,39182.90 ,28971.50 ,,,,,
25,2018,33645800,0.46 ,13707.27 ,374796,197265.84 ,27636.10 ,,,,,
26,2018,24841778,0.08 ,19.26 ,75039,228254.42 ,202.87 ,,,,,
27,2018,396405,1.35 ,9702.28 ,348094,47866.70 ,10763.19 ,,,,,
28,2018,14132385,0.08 ,3509.81 ,392765,25188.89 ,3651.88 ,,,,,
29,2018,4307313,0.02 ,564.49 ,205904,4864.15 ,980.14 ,,,,,
30,2018,699625,0.28 ,3307.88 ,100055,835.18 ,1491.81 ,,,,,
31,2018,1549705,0.91 ,11220.01 ,243788,39221.50 ,8356.74 ,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
